14621*41910*001	328	DONE		1	FREE	0	14625	8		26|11|282	2|2|1	1399|1499|999	N|N|Z	1|1|1		17.5|17.5|0
14781*71994*001	687	DONE		1	FREE	0	14782	9		215|72|82|197|44|67|135	1|1|1|2|2|2|1	1300|899|1999|1999|2299|899|899	N|N|N|N|N|N|N	1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5|17.5
14819*60976*001	1057	DONE		2	FREE	0	14819	1		52|280	2|2	1300|2000	N|Z	1|1		17.5|0
14963*45118*001	1183	DONE		2	FREE	0	14967	4		321|307|14|169|114|232|138|69|183	2|1|2|1|2|2|1|1|1	699|699|1099|1099|1499|1699|2850|1599|1999	Z|Z|N|N|N|N|N|N|N	1|1|1|1|1|1|1|1|1		0|0|17.5|17.5|17.5|17.5|17.5|17.5|17.5
15082*58620*001	2388	DONE		1	FREE	0	15084	8		315|336|306|230|237|89|337	1|1|2|2|2|2|1	799|799|699|1499|1400|1299|799	Z|Z|Z|N|N|N|Z	1|1|1|1|1|1|1		0|0|0|17.5|17.5|17.5|0
14613*57600*001	1106	DONE		2	FREE	0	14618	8		222|133|153|270|120|320|102	2|1|2|2|1|1|2	1099|1599|1300|799|399|699|4195	N|N|N|Z|N|Z|N	1|1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|0|17.5
14900*44700*001	2322	DONE		2	FIRST	599	14905	9		282|322|259	2|2|2	999|699|799	Z|Z|Z	1|1|1		0|0|0
15071*51008*001	3240	DONE		2	FREE	0	15071	5		90|198|137|128|240	1|1|1|2|1	1399|1499|1599|4500|1595	N|N|N|N|N	1|1|1|1|1		17.5|17.5|17.5|17.5|17.5
15182*58620*001	827	DONE		2	FREE	0	15186	1		18|177|314|252|158|68|18	2|2|2|2|1|2|2	1099|1499|799|799|1599|999|1099	N|N|Z|Z|N|N|N	1|1|1|1|1|1|1		17.5|17.5|0|0|17.5|17.5|17.5
15200*31150*001	1021	DONE		2	FREE	0	15204	8		140|90|41|276	2|2|1|1	1499|1399|1099|799	N|N|N|Z	1|1|1|1		17.5|17.5|17.5|0
15231*31050*001	4068	DONE		1	FREE	0	15237	5		57|328|331|207	2|2|1|2	1300|599|449.25|799	N|Z|Z|N	1|1|1|1	||PENGUIN1	17.5|0|0|17.5
15319*52983*001	646	DONE		2	FREE	0	15321	3		19|93	2|1	999|5295	N|N	1|1		17.5|17.5
15330*53865*001	407	DONE		1	FIRST	599	15334	8		41	1	1099	N	1		17.5
14783*47480*001	1655	DONE		2	FREE	0	14783	6		190|194|129|34|292	2|1|2|1|1	999|599|1499|1599|399.5	N|N|N|N|Z	1|1|1|1|1	||||PRATCHETT1	17.5|17.5|17.5|17.5|0
14873*55710*001	2233	DONE		1	FREE	0	14874	9		35|40|146|199|334|330|196|40|172	1|1|1|1|2|1|2|1|1	799|1299|999|4950|799|449.25|1499|1299|1999	N|N|N|N|Z|Z|N|N|N	1|1|1|1|1|1|1|1|1	|||||PENGUIN1	17.5|17.5|17.5|17.5|0|0|17.5|17.5|17.5
14946*64935*001	1360	DONE		2	FREE	0	14951	9		21|268|146	1|2|1	1599|1899|999	N|Z|N	1|1|1		17.5|0|17.5
15080*66975*001	1400	DONE		1	FREE	0	15083	6		345|249|145|121|59|114|204	2|1|1|1|1|2|1	699|1251|1999|1300|799|1499|1299	Z|N|N|N|N|N|N	1|1|1|1|1|1|1		0|17.5|17.5|17.5|17.5|17.5|17.5
15153*65880*001	3609	DONE		2	FREE	0	15158	9		186|66|192|66|343|262|285|159	2|1|2|1|1|2|1|1	1099|799|1499|799|749.25|699|1299|2199	N|N|N|N|Z|Z|Z|N	1|1|1|1|1|1|1|1	||||PENGUIN1	17.5|17.5|17.5|17.5|0|0|0|17.5
15187*27428*001	296	DONE		2	FREE	0	15192	4		178|222|78|199|104|88|152|30|222	1|1|1|2|2|1|1|1|1	1499|1099|1499|4950|599|1099|499|499|1099	N|N|N|N|N|N|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5
14598*51936*001	1002	DONE		1	FREE	0	14604	9		249|331|246|212|183|183|321|237	1|1|2|1|1|2|2|2	1251|449.25|1299|1499|1999|1999|699|1400	N|Z|N|N|N|N|Z|N	1|1|1|1|1|1|1|1	|PENGUIN1	17.5|0|17.5|17.5|17.5|17.5|0|17.5
14838*64434*001	2049	DONE		1	FREE	0	14838	6		266|196|317|192	2|1|1|1	799|1499|699|1499	Z|N|Z|N	1|1|1|1		0|17.5|0|17.5
14902*71994*001	268	DONE		1	FREE	0	14902	6		64|251|98|225	2|2|2|1	1699|799|899|1499	N|Z|N|N	1|1|1|1		17.5|0|17.5|17.5
14918*63076*001	1570	DONE		2	FIRST	599	14922	5		303|247|230	1|1|2	899|1099|1499	Z|N|N	1|1|1		0|17.5|17.5
14952*45118*001	1742	DONE		1	FREE	0	14957	9		222|212|149|274|38	1|1|2|1|2	1099|1499|999|999|1399	N|N|N|Z|N	1|1|1|1|1		17.5|17.5|17.5|0|17.5
15142*29454*001	3429	DONE		1	FIRST	599	15142	5		303	1	899	Z	1		0
15286*43920*001	1172	DONE		1	FREE	0	15290	1		75|247|12|98|331|78|92|313|60	1|2|1|1|1|1|2|1|1	1499|1099|1299|899|449.25|1499|1499|699|499	N|N|N|N|Z|N|N|Z|N	1|1|1|1|1|1|1|1|1	||||PENGUIN1	17.5|17.5|17.5|17.5|0|17.5|17.5|0|17.5
15301*65304*001	4156	DONE		1	FREE	0	15303	4		41|238|27|48|114|316|257|101	1|2|2|2|1|2|1|2	1099|1099|899|499|1499|799|799|899	N|N|N|N|N|Z|Z|N	1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|0|0|17.5
15328*32697*001	630	DONE		2	FREE	0	15331	6		28|297|188|5|126|307|315|194	1|2|1|2|2|1|1|1	999|699|1599|1099|499|699|799|599	N|Z|N|N|N|Z|Z|N	1|1|1|1|1|1|1|1		17.5|0|17.5|17.5|17.5|0|0|17.5
15355*62286*001	1270	DONE		2	FREE	0	15356	9		185|30|5|333|306|265	2|2|2|2|2|1	9095|499|1099|799|699|1199	N|N|N|Z|Z|Z	1|1|1|1|1|1		17.5|17.5|17.5|0|0|0
14620*57600*001	927	DONE		2	FIRST	599	14625	5		237	1	1400	N	1		17.5
14798*60976*001	1165	DONE		2	FREE	0	14804	3		15|106|203|271|161|168	1|2|1|1|2|2	1300|1399|1699|699|1299|1599	N|N|N|Z|N|N	1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|17.5
14973*55510*001	234	DONE		2	FREE	0	14974	8		208|87|335|245|187	1|2|1|2|1	1499|499|799|1300|799	N|N|Z|N|N	1|1|1|1|1		17.5|17.5|0|17.5|17.5
15312*49896*001	90	DONE		2	FREE	0	15317	4		344|284|208|209	2|2|2|2	599.25|799|1499|1499	Z|Z|N|N	1|1|1|1	PENGUIN1	0|0|17.5|17.5
15315*33138*001	1057	DONE		2	FREE	0	15316	9		302|284|168|145|78|128	2|1|1|2|1|2	699|799|1599|1999|1499|4500	Z|Z|N|N|N|N	1|1|1|1|1|1		0|0|17.5|17.5|17.5|17.5
15393*71988*001	557	DONE		1	FREE	0	15394	4		265|198|13|48|23|132|322|227|39	1|2|2|2|2|2|2|1|1	1199|1499|1599|499|799|1399|699|1299|1300	Z|N|N|N|N|N|Z|N|N	1|1|1|1|1|1|1|1|1		0|17.5|17.5|17.5|17.5|17.5|0|17.5|17.5
14796*48600*001	1437	DONE		1	FREE	0	14802	1		97|14|144|303|258|284	2|1|1|2|1|2	1399|1099|1299|899|999|799	N|N|N|Z|Z|Z	1|1|1|1|1|1		17.5|17.5|17.5|0|0|0
14828*64674*001	856	DONE		1	FREE	0	14831	3		102|162|185|291|192|228	1|2|1|1|2|2	4195|923|9095|399.5|1499|799	N|N|N|Z|N|N	1|1|1|1|1|1	|||PRATCHETT1	17.5|17.5|17.5|0|17.5|17.5
14997*70608*001	2911	DONE		2	FIRST	599	14998	1		294	1	399.5	Z	1	PRATCHETT1	0
15236*34950*001	1603	DONE		2	FIRST	599	15242	4		298|97	2|2	699|1399	Z|N	1|1		0|17.5
15337*34461*001	4561	DONE		2	FREE	0	15337	7		162|145|7|177|294|50|66	2|2|2|2|2|1|1	923|1999|1299|1499|399.5|1599|799	N|N|N|N|Z|N|N	1|1|1|1|1|1|1	||||PRATCHETT1	17.5|17.5|17.5|17.5|0|17.5|17.5
14488*67320*001	559	DONE		1	FREE	0	14490	9		207|141|168|251|15|313|297|149	1|1|2|2|1|2|1|2	799|1299|1599|799|1300|699|699|999	N|N|N|Z|N|Z|Z|N	1|1|1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|0|0|17.5
14603*51936*001	618	DONE		1	FREE	0	14608	2		110|88|247|102	2|2|1|1	6457|1099|1099|4195	N|N|N|N	1|1|1|1		17.5|17.5|17.5|17.5
14635*36000*001	1249	DONE		1	FIRST	599	14640	9		202|294|307	1|2|1	1300|399.5|699	N|Z|Z	1|1|1	|PRATCHETT1	17.5|0|0
14803*55472*001	1250	DONE		1	FREE	0	14808	8		219|345|40	2|2|2	1999|699|1299	N|Z|N	1|1|1		17.5|0|17.5
15077*51936*001	3263	DONE		2	FREE	0	15077	5		196|70|248|136|115|282	1|1|1|1|2|1	1499|1299|799|799|1499|999	N|N|N|N|N|Z	1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|0
15201*52912*001	1813	DONE		1	FREE	0	15201	2		109|210|86|237|48	1|1|2|1|2	1399|799|1799|1400|499	N|N|N|N|N	1|1|1|1|1		17.5|17.5|17.5|17.5|17.5
15215*49448*001	3962	DONE		1	FREE	0	15219	3		192|36|141|50|65|19	2|2|2|1|1|1	1499|1699|1299|1599|2499|999	N|N|N|N|N|N	1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5
15227*60300*001	1249	DONE		1	FREE	0	15229	1		323|34|177|207|60|338|158|41|312	1|1|1|1|1|2|2|1|1	699|1599|1499|799|499|374.25|1599|1099|699	Z|N|N|N|N|Z|N|N|Z	1|1|1|1|1|1|1|1|1	|||||PENGUIN1	0|17.5|17.5|17.5|17.5|0|17.5|17.5|0
15334*45927*001	4544	DONE		1	FIRST	599	15337	5		33|280	2|1	1300|2000	N|Z	1|1		17.5|0
15340*37548*001	1480	DONE		2	FIRST	599	15340	8		5|42|332	1|1|1	1099|799|799	N|N|Z	1|1|1		17.5|17.5|0
14735*36000*001	1308	DONE		1	FIRST	599	14739	9		193|187|143	1|1|1	1099|799|1599	N|N|N	1|1|1		17.5|17.5|17.5
14775*54164*001	1800	DONE		2	FIRST	599	14781	6		143|280	1|1	1599|2000	N|Z	1|1		17.5|0
14834*58398*001	2018	DONE		2	FREE	0	14836	4		201|105|48|312|254|12|183	1|2|2|1|1|2|1	2499|1699|499|699|699|1299|1999	N|N|N|Z|Z|N|N	1|1|1|1|1|1|1		17.5|17.5|17.5|0|0|17.5|17.5
14854*50853*001	624	DONE		1	FIRST	599	14854	4		189	2	999	N	1		17.5
14658*46000*001	1352	DONE		1	FIRST	599	14663	2		214	2	1499	N	1		17.5
14816*66480*001	430	DONE		2	FREE	0	14821	7		158|10	1|2	1599|2199	N|N	1|1		17.5|17.5
14830*44817*001	70	DONE		1	FREE	0	14830	9		35|160|249	2|1|2	799|1399|1251	N|N|N	1|1|1		17.5|17.5|17.5
14840*31236*001	749	DONE		2	FIRST	599	14846	8		315	2	799	Z	1		0
15150*42216*001	2419	DONE		2	FREE	0	15155	9		336|87|206|127|294|77	2|1|1|2|2|2	799|499|1499|2499|399.5|499	Z|N|N|N|Z|N	1|1|1|1|1|1	||||PRATCHETT1	0|17.5|17.5|17.5|0|17.5
15308*29656*001	310	DONE		1	FREE	0	15310	1		18|194|84|42|15|231	1|1|2|2|2|1	1099|599|7500|799|1300|899	N|N|N|N|N|N	1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5
15324*69741*001	4485	DONE		2	FREE	0	15325	5		206|36|301|276|258|321|345|91	2|2|2|1|2|1|2|2	1499|1699|699|799|999|699|699|1499	N|N|Z|Z|Z|Z|Z|N	1|1|1|1|1|1|1|1		17.5|17.5|0|0|0|0|0|17.5
15333*56511*001	4292	DONE		2	FREE	0	15338	2		161|66|287|134|290|19|195|2|168	1|1|1|1|1|2|2|2|1	1299|799|799|699|799|999|1188|1299|1599	N|N|Z|N|Z|N|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|0|17.5|0|17.5|17.5|17.5|17.5
14791*29656*001	1272	DONE		1	FREE	0	14797	4		22|125	2|2	2699|499	N|N	1|1		17.5|17.5
15091*51936*001	3325	DONE		2	FREE	0	15095	6		117|288|163|203|228|38	2|2|2|1|2|2	5500|799|1999|1699|799|1399	N|Z|N|N|N|N	1|1|1|1|1|1		17.5|0|17.5|17.5|17.5|17.5
15323*66213*001	1906	DONE		2	FREE	0	15323	4		124|98|123|269|32|183	2|1|2|2|2|2	1499|899|499|1499|999|1999	N|N|N|Z|N|N	1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|17.5
15328*65331*001	3979	DONE		1	FREE	0	15329	6		131|179|181|280|88|133|335|95|180	2|1|2|1|1|1|2|1|2	1699|899|1099|2000|1099|1599|799|999|1099	N|N|N|Z|N|N|Z|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|17.5|0|17.5|17.5
14368*60300*001	48	DONE		2	FREE	0	14372	4		202|59|227|90|17	2|1|2|1|1	1300|799|1299|1399|899	N|N|N|N|N	1|1|1|1|1		17.5|17.5|17.5|17.5|17.5
14535*36900*001	513	DONE		1	FREE	0	14537	5		274|110	2|2	999|6457	Z|N	1|1		0|17.5
14833*28218*001	1737	DONE		2	FIRST	599	14833	9		278|43	2|1	799|1299	Z|N	1|1		0|17.5
14989*37584*001	416	DONE		1	FREE	0	14991	7		138|34	1|2	2850|1599	N|N	1|1		17.5|17.5
15197*43386*001	3805	DONE		2	FREE	0	15201	6		198|57|232|52|288	2|1|1|1|2	1499|1300|1699|1300|799	N|N|N|N|Z	1|1|1|1|1		17.5|17.5|17.5|17.5|0
15332*27405*001	2517	DONE		1	FREE	0	15332	4		67|4|34|63|160|341|20|122	2|2|2|1|2|2|1|2	899|599|1599|1699|1399|374.25|999|1599	N|N|N|N|N|Z|N|N	1|1|1|1|1|1|1|1	|||||PENGUIN1	17.5|17.5|17.5|17.5|17.5|0|17.5|17.5
15249*40800*001	2450	DONE		2	FIRST	599	15250	3		184|86	2|1	1300|1799	N|N	1|1		17.5|17.5
15338*39312*001	1386	DONE		1	FIRST	599	15341	8		196	2	1499	N	1		17.5
14509*51200*001	541	DONE		2	FREE	0	14513	3		111|32|156|40	2|1|1|1	1499|999|1499|1299	N|N|N|N	1|1|1|1		17.5|17.5|17.5|17.5
14725*36340*001	666	DONE		2	FREE	0	14727	5		337|256|309|248|53	2|2|2|2|1	799|799|699|799|599	Z|Z|Z|N|N	1|1|1|1|1		0|0|0|17.5|17.5
14878*54450*001	213	DONE		1	FREE	0	14879	1		100|343|295|25	2|2|2|2	1599|749.25|1299|1099	N|Z|Z|N	1|1|1|1	|PENGUIN1	17.5|0|0|17.5
15117*35226*001	3441	DONE		1	FIRST	599	15118	6		96|5|247	2|1|1	1299|1099|1099	N|N|N	1|1|1		17.5|17.5|17.5
15178*31884*001	1921	DONE		1	FREE	0	15179	1		27|207|75|59|44	2|1|2|1|1	899|799|1499|799|2299	N|N|N|N|N	1|1|1|1|1		17.5|17.5|17.5|17.5|17.5
14475*46470*001	483	DONE		1	FREE	0	14477	9		333|98|310|57|242|294|214|272|247	1|1|1|1|2|1|2|1|1	799|899|799|1300|1999|399.5|1499|899|1099	Z|N|Z|N|N|Z|N|Z|N	1|1|1|1|1|1|1|1|1	|||||PRATCHETT1	0|17.5|0|17.5|17.5|0|17.5|0|17.5
14561*31885*001	96	DONE		1	FREE	0	14561	8		102|202|221	2|2|1	4195|1300|5399	N|N|N	1|1|1		17.5|17.5|17.5
14669*46000*001	454	DONE		1	FIRST	599	14671	9		202	1	1300	N	1		17.5
14851*71979*001	781	DONE		1	FREE	0	14857	8		99|103|224|301|142|318|176|87|32	1|2|1|2|2|1|2|2|1	1699|1599|1399|699|1300|799|1099|499|999	N|N|N|Z|N|Z|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|0|17.5|0|17.5|17.5|17.5
15017*35226*001	716	DONE		2	FREE	0	15018	5		197|348|41|60|141|270|144|99	2|1|2|1|1|1|2|1	1999|799|1099|499|1299|799|1299|1699	N|Z|N|N|N|Z|N|N	1|1|1|1|1|1|1|1		17.5|0|17.5|17.5|17.5|0|17.5|17.5
15078*31884*001	2446	DONE		2	FREE	0	15081	9		188|133|14|106|310|29|206|250|162	1|2|1|1|2|2|2|1|2	1599|1599|1099|1399|799|1099|1499|1499|923	N|N|N|N|Z|N|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|0|17.5|17.5|17.5|17.5
15101*68400*001	3382	DONE		2	FIRST	599	15106	1		346|148	1|1	799|499	Z|N	1|1		0|17.5
15149*40089*001	3590	DONE		2	FREE	0	15149	8		195|177|176|271|317|90|142|218	1|1|2|1|1|2|1|1	1188|1499|1099|699|699|1399|1300|1099	N|N|N|Z|Z|N|N|N	1|1|1|1|1|1|1|1		17.5|17.5|17.5|0|0|17.5|17.5|17.5
15219*27798*001	3995	DONE		1	FREE	0	15223	3		28|107|145|190|113|211|101|171|196	2|2|1|1|1|2|1|1|2	999|1699|1999|999|1599|1399|899|1099|1499	N|N|N|N|N|N|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5
15314*44604*001	1584	DONE		1	FREE	0	15315	2		60|36|312|159|299|289|80|203|306	2|1|2|1|1|2|2|1|2	499|1699|699|2199|499|399.5|923|1699|699	N|N|Z|N|Z|Z|N|N|Z	1|1|1|1|1|1|1|1|1	|||||PRATCHETT1	17.5|17.5|0|17.5|0|0|17.5|17.5|0
14708*65304*001	67	DONE		2	FREE	0	14712	4		119|272|18|157|11|210|42|210|320	1|1|2|1|1|1|2|1|2	1599|899|1099|1300|1499|799|799|799|699	N|Z|N|N|N|N|N|N|Z	1|1|1|1|1|1|1|1|1		17.5|0|17.5|17.5|17.5|17.5|17.5|17.5|0
14917*31581*001	1218	DONE		1	FREE	0	14920	6		342|327|308|127|146|70|349|44	2|1|2|1|1|2|1|2	799|524.25|699|2499|999|1299|899|2299	Z|Z|Z|N|N|N|Z|N	1|1|1|1|1|1|1|1	|PENGUIN1	0|0|0|17.5|17.5|17.5|0|17.5
15314*30933*001	4231	DONE		1	FREE	0	15319	8		335|17|291|63|184|122|49	2|2|1|1|2|1|2	799|899|399.5|1699|1300|1599|999	Z|N|Z|N|N|N|N	1|1|1|1|1|1|1	||PRATCHETT1	0|17.5|0|17.5|17.5|17.5|17.5
15372*56700*001	479	DONE		1	FREE	0	15374	1		17|149|229|184|190|146|76|134	2|2|2|1|1|1|1|1	899|999|699|1300|999|999|5525|699	N|N|N|N|N|N|N|N	1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5
14496*40800*001	580	DONE		1	FREE	0	14499	4		155	2	4000	N	1		17.5
14608*65304*001	723	DONE		2	FIRST	599	14608	6		262|246	1|1	699|1299	Z|N	1|1		0|17.5
14853*68961*001	2135	DONE		1	FREE	0	14854	3		39|235|252|105|133|72	2|1|1|1|2|1	1300|1899|799|1699|1599|899	N|N|Z|N|N|N	1|1|1|1|1|1		17.5|17.5|0|17.5|17.5|17.5
15027*63633*001	3065	DONE		2	FREE	0	15027	1		68|267|254|50|168|121|134|163	1|2|2|1|1|1|2|2	999|699|699|1599|1599|1300|699|1999	N|Z|Z|N|N|N|N|N	1|1|1|1|1|1|1|1		17.5|0|0|17.5|17.5|17.5|17.5|17.5
15232*27234*001	3826	DONE		2	FREE	0	15235	5		188|293|24	2|2|1	1599|399.5|1499	N|Z|N	1|1|1	|PRATCHETT1	17.5|0|17.5
14480*67740*001	516	DONE		1	FREE	0	14484	2		135|266|105|91|252|188|36|309	2|1|1|2|2|1|2|1	899|799|1699|1499|799|1599|1699|699	N|Z|N|N|Z|N|N|Z	1|1|1|1|1|1|1|1		17.5|0|17.5|17.5|0|17.5|17.5|0
14600*55278*001	1019	DONE		1	FREE	0	14603	1		237|152|274|3|350	1|2|1|1|1	1400|499|999|1499|899	N|N|Z|N|Z	1|1|1|1|1		17.5|17.5|0|17.5|0
14779*38568*001	1812	DONE		1	FREE	0	14783	6		47|285|309|192|19|72	1|1|2|2|2|2	4999|1299|699|1499|999|899	N|Z|Z|N|N|N	1|1|1|1|1|1		17.5|0|0|17.5|17.5|17.5
14806*27952*001	403	DONE		1	FREE	0	14811	3		118|44|329|278|249|166|94|159|293	1|1|1|2|2|1|1|2|1	1499|2299|449.25|799|1251|1699|499|2199|399.5	N|N|Z|Z|N|N|N|N|Z	1|1|1|1|1|1|1|1|1	||PENGUIN1||||||PRATCHETT1	17.5|17.5|0|0|17.5|17.5|17.5|17.5|0
15046*34560*001	396	DONE		2	FIRST	599	15051	3		289|121	1|1	399.5|1300	Z|N	1|1	PRATCHETT1	0|17.5
15163*65304*001	594	DONE		2	FREE	0	15164	2		306|167|18|80|228|75|183|349|264	2|2|2|1|1|2|2|2|2	699|5350|1099|923|799|1499|1999|899|699	Z|N|N|N|N|N|N|Z|Z	1|1|1|1|1|1|1|1|1		0|17.5|17.5|17.5|17.5|17.5|17.5|0|0
14679*38568*001	331	DONE		1	FIRST	599	14683	5		166	2	1699	N	1		17.5
14700*55278*001	1530	DONE		1	FREE	0	14704	8		281|80|264|231|3|308|259|127	1|1|2|2|1|1|1|2	799|923|699|899|1499|699|799|2499	Z|N|Z|N|N|Z|Z|N	1|1|1|1|1|1|1|1		0|17.5|0|17.5|17.5|0|0|17.5
15058*70470*001	2708	DONE		1	FREE	0	15059	2		232|295|309|312|242|345|193	1|2|1|2|1|1|2	1699|1299|699|699|1999|699|1099	N|Z|Z|Z|N|Z|N	1|1|1|1|1|1|1		17.5|0|0|0|17.5|0|17.5
15062*41799*001	198	DONE		2	FREE	0	15064	2		210|114|13|134|152|234|132|144|102	2|1|2|2|1|1|1|1|2	799|1499|1599|699|499|899|1399|1299|4195	N|N|N|N|N|N|N|N|N	1|1|1|1|1|1|1|1|1		17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5|17.5
15115*45252*001	1090	DONE		2	FREE	0	15119	3		191|162|302|215|209|129	1|1|1|1|2|2	1316|923|699|1300|1499|1499	N|N|Z|N|N|N	1|1|1|1|1|1		17.5|17.5|0|17.5|17.5|17.5
15169*50940*001	3035	DONE		2	FREE	0	15171	9		28|1|336	2|2|1	999|1299|799	N|N|Z	1|1|1		17.5|17.5|0
14472*33708*001	320	DONE		2	FREE	0	14478	8		303|149|203|258|44|29|42	1|1|2|2|1|1|2	899|999|1699|999|2299|1099|799	Z|N|N|Z|N|N|N	1|1|1|1|1|1|1		0|17.5|17.5|0|17.5|17.5|17.5
14592*68646*001	302	DONE		2	FREE	0	14593	9		339|154|55|271	2|2|2|1	374.25|3795|1300|699	Z|N|N|Z	1|1|1|1	PENGUIN1	0|17.5|17.5|0
14644*54756*001	275	DONE		2	FREE	0	14644	2		254|133|49|116|256|75|28|112|141	1|1|2|1|2|1|2|2|1	699|1599|999|6500|799|1499|999|1399|1299	Z|N|N|N|Z|N|N|N|N	1|1|1|1|1|1|1|1|1		0|17.5|17.5|17.5|0|17.5|17.5|17.5|17.5
14946*31381*001	534	DONE		2	FREE	0	14946	9		218|217|261|27|176|35	2|2|2|2|2|2	1099|1499|699|899|1099|799	N|N|Z|N|N|N	1|1|1|1|1|1		17.5|17.5|0|17.5|17.5|17.5
15164*45252*001	1341	DONE		1	FREE	0	15164	4		47|236|225|18	1|1|1|2	4999|7999|1499|1099	N|N|N|N	1|1|1|1		17.5|17.5|17.5|17.5
14974*70232*001	125	DONE		1	FIRST	599	14976	3		134	1	699	N	1		17.5
15013*50265*001	1473	DONE		2	FREE	0	15018	5		306|262|150|85	1|2|2|1	699|699|6500|924	Z|Z|N|N	1|1|1|1		0|0|17.5|17.5
15036*68880*001	2924	DONE		2	FREE	0	15038	9		253|149|89|48|53|309|195|302	2|1|2|1|2|2|1|1	699|999|1299|499|599|699|1188|699	Z|N|N|N|N|Z|N|Z	1|1|1|1|1|1|1|1		0|17.5|17.5|17.5|17.5|0|17.5|0
15272*56400*001	1929	DONE		2	FREE	0	15272	7		135|278|200|13|281|332	2|1|1|1|1|1	899|799|299|1599|799|799	N|Z|N|N|Z|Z	1|1|1|1|1|1		17.5|0|17.5|17.5|0|0
15298*39240*001	3294	DONE		2	FREE	0	15303	2		268|161	2|1	1899|1299	Z|N	1|1		0|17.5
15325*30933*001	552	DONE		2	FIRST	599	15330	6		98|248|327|66|48	1|1|1|2|2	899|799|524.25|799|499	N|N|Z|N|N	1|1|1|1|1	||PENGUIN1	17.5|17.5|0|17.5|17.5
15379*50400*001	4883	DONE		1	FREE	0	15383	6		296|284|345|59|275|138|42|96	2|2|2|2|2|2|2|1	699|799|699|799|699|2850|799|1299	Z|Z|Z|N|Z|N|N|N	1|1|1|1|1|1|1|1		0|0|0|17.5|0|17.5|17.5|17.5
14621*61962*001	351	DONE		2	FIRST	599	14622	2		171|300	1|1	1099|599	N|Z	1|1		17.5|0
