	15510*29031.743*1
1504	14693*48594*001|14794*52720*001|14831*38781*001|14856*50550*001|14999*65104*001|15028*51936*001|15190*58108*001|15213*42520*001
2007	14831*55380*001|14860*31050*001|14870*35370*001|14974*26932*001|15187*51936*001|15316*43554*001
210	14405*72000*001|14436*43920*001|14637*72000*001|14677*55278*001|14767*58620*001|14816*60976*001|14891*71994*001|14942*67740*001|14954*64170*001|15006*70576*001|15070*70317*001|15265*27800*001
2510	14947*28664*001|15068*31884*001|15161*36340*001|15318*40635*001|15337*44604*001|15344*57600*001|15364*62100*001
3013	15011*42943*001|15142*69867*001|15336*52731*001
3516	15137*44343*001|15263*46000*001|15342*32400*001|15361*49924*001
4522	15331*36125*001
4019	15221*34950*001|15324*35343*001|15341*56511*001
713	14538*36900*001|14770*63486*001|14790*58620*001|14831*34254*001|14856*72000*001|15148*63846*001|15233*60300*001|15325*26964*001
1002	14598*51936*001|15204*47300*001|15320*64449*001|15330*70182*001|15340*36225*001
1505	14693*55278*001|14777*71988*001|14995*48592*001|15155*31581*001|15155*57105*001|15313*42840*001|15322*44604*001
2008	14831*59907*001|14962*31262*001|15193*53778*001|15211*54644*001|15222*37404*001
211	14406*34560*001|14453*72000*001|14536*48600*001|14629*61200*001|14684*61962*001|14846*63212*001|15033*38568*001|15215*56376*001|15216*60050*001|15314*40635*001
2511	14947*29530*001|15202*31262*001|15315*66654*001
3014	15012*28542*001|15163*36340*001|15205*44252*001|15330*67095*001|15366*71100*001
3517	15137*48597*001|15194*48582*001|15341*52101*001
4020	15221*60300*001|15368*36000*001
4523	15331*45302*001|15346*37800*001|15356*47700*001
714	14538*72000*001|14707*57960*001|14765*29656*001|14808*66150*001|14961*54339*001
1003	14598*58620*001|14650*61600*001|14883*36900*001|14893*63486*001|14937*46470*001|14969*39922*001|15178*47480*001
1506	14693*58620*001|14715*34112*001|14951*67634*001|14970*61572*001|15003*52720*001|15005*71984*001|15313*69300*001|15337*29610*001|15340*54747*001|15362*45000*001
2009	14831*68961*001|14857*48600*001|15056*68880*001
212	14406*43920*001|14526*58625*001|14588*38568*001|14621*71988*001|14638*68400*001|14803*30704*001|14833*46326*001|14964*44252*001|15002*66322*001|15217*70232*001|15337*47250*001
2512	14947*34726*001|14982*53560*001|14993*69232*001|15365*71116*001
3015	15012*46923*001|15239*35370*001|15299*69760*001|15311*66213*001|15315*62244*001|15320*52983*001|15357*67584*001
3518	15137*54978*001|15213*65902*001|15398*45252*001
4021	15222*35370*001|15310*32220*001|15333*32256*001
4524	15331*46613*001
715	14539*31050*001|14824*29727*001|14834*59907*001|15231*36900*001|15295*29880*001|15319*41517*001|15331*64967*001
1004	14598*65304*001|14686*57600*001|14719*69660*001|14780*65304*001|14949*28664*001|14960*45118*001|15203*26932*001|15251*63728*001|15257*38960*001|15364*46800*001
1507	14693*61962*001|14735*68400*001
2010	14832*50054*001|14901*37962*001|14976*49041*001|14989*34832*001|15071*38104*001
213	14406*62640*001|14559*64200*001|14734*71988*001|14878*54450*001|14904*37962*001|15040*47835*001|15096*58620*001
2513	14947*37324*001|15149*71994*001|15200*55800*001|15312*30933*001|15319*36225*001|15336*70648*001
3016	15012*55278*001|15209*36458*001|15336*59286*001
3519	15137*59232*001|15334*37989*001
4022	15222*49608*001|15369*37562*001|15393*48594*001
4525	15331*57538*001|15349*28732*001
716	14539*42750*001|14625*46800*001|14763*45252*001|14786*36340*001|14809*63728*001|15017*35226*001|15379*64800*001
1005	14598*68646*001|14840*70470*001|14844*59907*001|15157*65613*001|15212*35400*001
1508	14693*65304*001|14855*71982*001|14973*64170*001|15329*67095*001|15335*30492*001
2011	14832*60288*001|14941*52851*001|14947*45984*001|15041*59520*001
214	14406*72000*001|14505*72000*001|14644*62145*001|14689*58620*001|14699*58620*001|14992*64904*001|15211*39056*001|15313*40194*001
2514	14947*41654*001|15094*26871*001
3017	15012*68646*001|15092*57460*001|15315*45045*001|15345*33147*001|15355*66701*001|15377*28800*001
3520	15137*65613*001
4023	15222*63846*001|15262*66480*001
4526	15331*63219*001
717	14539*48600*001|14559*48600*001|14915*60300*001|14932*69867*001|15148*57744*001|15259*38960*001|15260*38960*001
1006	14599*35226*001|14749*72000*001|14946*32264*001|15326*58849*001
1509	14694*36000*001|14745*68400*001|14950*37324*001|15361*59637*001
2012	14832*63212*001|14944*27327*001|14959*32994*001|15040*46326*001|15061*61080*001|15202*39056*001|15304*34112*001|15337*41076*001
215	14407*33000*001|14492*40800*001|14598*35226*001|14665*39978*001|14682*32400*001|14763*60848*001|14791*69760*001|14825*62925*001|14825*64434*001|15186*50940*001|15308*69760*001
2515	14947*49448*001|15052*65943*001|15136*40089*001
3018	15013*30213*001|15093*53607*001
3521	15137*67740*001|15191*71964*001
4024	15222*65880*001|15318*42399*001|15322*42840*001|15331*51857*001|15341*30051*001|15367*40211*001|15389*50400*001
4527	15331*71522*001|15346*42300*001
718	14539*54450*001|14594*61962*001|14632*46800*001|14766*63486*001|14842*68961*001|15029*52621*001|15094*33555*001|15323*56952*001|15337*29169*001
1007	14599*41910*001|14709*64980*001|14830*46326*001|14838*34254*001|15058*50853*001|15060*53871*001|15290*36340*001
1510	14694*39600*001|14703*69660*001|14982*57814*001|15085*40239*001|15258*35600*001|15311*69741*001|15354*59400*001
2013	14833*34254*001|14861*34950*001|14952*39056*001|14980*37962*001|15015*33265*001|15202*26066*001|15331*40058*001
216	14407*40800*001|14477*37962*001|14510*40800*001|14653*69400*001|14710*60300*001|14864*62250*001|14995*27952*001|15051*34560*001|15080*63633*001|15191*67634*001|15331*34814*001
2516	14947*55510*001|14978*52142*001|14984*62068*001|15060*32745*001|15212*47300*001
3019	15013*45252*001|15345*26966*001
3522	15137*69867*001
4025	15223*36900*001
4528	15332*28728*001
719	14540*31050*001|14704*27428*001|14721*46260*001|14958*55510*001|15336*37436*001
1008	14599*48594*001|14921*67740*001|15035*58620*001|15037*49344*001|15061*40800*001|15358*64800*001
1511	14694*43200*001|14779*29656*001|14838*43308*001|15011*54234*001|15072*61962*001
2014	14833*35763*001|14861*31050*001|14969*56376*001|15021*31652*001|15338*46368*001
217	14407*48600*001|14719*60300*001|14829*43308*001|14886*37962*001|14976*41977*001|15056*37680*001|15110*72000*001|15334*37107*001
2517	14947*61572*001|14988*42216*001|15039*35763*001|15332*27405*001|15355*42860*001|15360*65700*001
3020	15013*51936*001|15141*40089*001
3523	15138*33336*001|15331*31755*001
4026	15223*40800*001
4529	15332*32256*001
720	14540*36900*001|14644*44904*001|14837*64674*001|15080*40239*001|15095*41910*001|15315*71946*001|15333*38871*001
1009	14599*58620*001|14690*39600*001|14799*31050*001|15018*52621*001|15139*69867*001|15218*68500*001|15330*60921*001
1512	14694*54000*001|14731*36900*001|14772*51936*001|14806*63728*001|14837*51516*001|14842*41799*001|14996*29454*001|15170*56392*001|15298*29880*001
2015	14833*58398*001|14877*37404*001|15131*37962*001|15313*40635*001
218	14407*64200*001|14575*71995*001|14985*34832*001|15091*56949*001|15226*31302*001
2518	14947*65902*001|15193*71964*001
3021	15013*58620*001|15049*56889*001|15077*46923*001|15221*70050*001|15371*48158*001
3524	15138*37404*001|15250*33456*001|15335*28728*001
4027	15223*56400*001|15327*70182*001
4530	15332*34020*001|15360*67500*001
721	14540*42750*001|15011*55847*001|15193*43386*001|15387*57600*001
1010	14599*61962*001|14975*28664*001|15314*31374*001|15335*50778*001
1513	14695*65304*001|14770*27327*001|14827*31236*001|14841*41282*001|15002*37962*001|15040*34254*001|15137*33708*001|15337*61362*001
2016	14833*62925*001|14891*63486*001|14933*65304*001|15025*41330*001|15138*31302*001|15311*57834*001|15327*31815*001
219	14407*72000*001|14574*71995*001|14840*68961*001|14943*58620*001|15081*28542*001|15293*27540*001
2519	14947*69366*001|15087*70317*001|15198*60706*001
3022	15013*60291*001|15074*61962*001|15223*38850*001|15333*26964*001
3525	15138*41472*001|15237*27234*001|15321*40932*001
4028	15223*58350*001
4531	15332*42399*001
722	14540*60300*001|14728*39240*001|14908*48600*001|14957*34726*001|14960*52046*001|15198*32128*001|15305*67320*001
1011	14599*65304*001|14933*49708*001|15004*62068*001|15063*34254*001
1514	14696*28542*001|14791*51936*001|14885*50724*001|14914*37962*001|14982*40798*001|15011*28426*001|15042*46326*001|15217*29530*001
2017	14834*53871*001|15020*61962*001|15248*48600*001
220	14408*40800*001|14606*51936*001|14710*62640*001|14777*45252*001|14832*66136*001|15214*50314*001|15224*39438*001|15368*56700*001
2520	14947*71964*001|15008*60291*001|15048*44817*001|15211*42520*001|15271*63728*001|15311*55629*001
3023	15013*68646*001
3526	15138*43506*001|15315*35343*001|15372*58500*001
4029	15223*66150*001
4532	15332*52101*001
723	14541*54450*001|14608*65304*001|14646*53800*001|14846*70522*001|14951*58108*001|15314*66213*001|15351*30498*001
1012	14599*68646*001|14660*44904*001|14664*64200*001|14853*53871*001|14959*34726*001|15004*37962*001|15068*68646*001|15307*53280*001|15321*28259*001
1515	14696*35226*001|14716*29880*001|14985*59600*001|14994*46470*001|15024*33555*001
2018	14834*58398*001|14949*32994*001|14963*40788*001|15019*26871*001|15191*53778*001|15207*44252*001|15213*57242*001
221	14408*56400*001|14444*56400*001|14490*61600*001|14512*51200*001|14952*36458*001|14998*29454*001|15002*62068*001|15050*43308*001|15334*54306*001
2521	14948*38190*001|15012*38568*001|15026*70317*001|15128*67740*001|15211*66768*001|15242*58350*001|15355*49041*001
3024	15013*71988*001|15042*38781*001|15259*60976*001
3527	15139*42216*001|15311*65331*001
4030	15223*70050*001
4533	15332*55188*001|15352*42300*001|15366*56700*001
724	14541*60300*001|14550*33000*001|14649*35052*001|14692*58620*001|14787*31884*001|14966*28664*001|14976*59637*001|15032*54234*001|15320*66213*001
1013	14600*28542*001|14616*68400*001|14705*34560*001|14722*54164*001|14823*69075*001|15211*69366*001
1516	14696*55278*001|14706*31884*001|14837*48592*001|14842*62925*001|14862*41472*001|14905*50724*001|15322*65331*001|15359*46392*001
2019	14834*64434*001|14969*57242*001|14970*39922*001|15200*64300*001|15278*40800*001|15308*34112*001|15348*36900*001
222	14408*72000*001|14596*45252*001|14764*29656*001|14782*54164*001|14919*35835*001|14938*47480*001|15002*35126*001|15086*45252*001
2522	14948*45984*001|15276*69400*001|15316*30444*001
3025	15014*35226*001|15054*62925*001|15195*36458*001|15281*57960*001
3528	15139*44343*001|15158*62640*001|15335*46368*001
4031	15224*51642*001
4534	15332*65331*001
725	14541*72000*001|14618*54000*001|14643*53800*001|14713*40796*001|14783*51936*001|15006*56396*001|15190*62438*001|15323*32256*001
1014	14600*31884*001|14725*38568*001|14747*54000*001|14759*46800*001|14842*55380*001|14927*52851*001|14966*65902*001|15009*60291*001|15184*43920*001|15291*67320*001
1517	14696*65304*001|14821*47216*001|14853*41799*001|15034*36897*001|15329*64449*001
2020	14834*70470*001|15159*29656*001|15268*33456*001
223	14409*33000*001|14443*72000*001|14473*46470*001|14475*50724*001|14516*35600*001|14588*31884*001|14660*35052*001|14715*45252*001|14729*34112*001|14826*43308*001|14894*37962*001|15194*30396*001
2523	14948*50314*001|15317*64449*001
3026	15014*46923*001|15060*43308*001
3529	15139*48597*001|15217*69366*001|15319*37107*001|15325*49455*001
4032	15224*59778*001|15274*43400*001
4535	15332*67536*001
726	14542*45255*001|14667*33000*001|14853*62925*001|15139*46470*001|15168*71988*001|15298*46260*001
1015	14600*38568*001|14770*54978*001|14866*53676*001
1518	14696*68646*001|14860*52500*001|14931*40089*001|15101*46800*001|15331*66278*001|15339*69741*001
2021	14835*28218*001|14857*36900*001|15034*68646*001|15164*34112*001|15167*27540*001|15287*71988*001|15342*65700*001
224	14409*48600*001|14455*56400*001|14771*49708*001|14830*40290*001|14841*71984*001|14857*66150*001|14920*45252*001|14956*32128*001|15150*71994*001|15194*34726*001|15230*41472*001|15345*38445*001
2524	14948*51180*001
3027	15014*66975*001|15040*41799*001|15041*56400*001|15103*61200*001|15179*69660*001|15205*50314*001|15372*29700*001
3530	15139*54978*001|15212*27750*001|15343*59637*001|15349*53456*001
4033	15224*61812*001|15299*34112*001|15338*65331*001|15364*32400*001
4536	15333*28287*001
727	14542*71995*001|14695*55278*001|14721*69660*001|15152*40089*001|15240*48600*001|15341*26082*001|15356*62100*001
1016	14600*45252*001|14611*64800*001|14644*42441*001|14844*46326*001|15000*60650*001|15312*33138*001|15336*54916*001
1519	14696*71988*001|14857*54450*001|14882*46650*001|14905*29454*001|14920*60848*001|15233*40800*001|15318*68859*001|15339*54306*001
2022	14835*34254*001|15174*36900*001|15311*37107*001
225	14409*56400*001|14580*54000*001|14813*30704*001|14831*28218*001|15309*57960*001|15351*26083*001
2525	14948*58974*001|15015*46169*001|15026*46923*001|15063*64434*001|15068*55278*001|15159*49708*001|15213*65036*001|15372*59400*001
3028	15015*42943*001|15229*66150*001|15290*56392*001|15318*35784*001|15325*46368*001
3531	15139*57105*001|15170*38568*001|15346*62100*001
4034	15224*67914*001|15325*67977*001
4537	15333*34902*001
728	14543*31050*001|14761*57600*001|14766*57105*001|14965*28664*001|14969*67634*001|15329*45486*001
1017	14600*48594*001|14720*56392*001|14727*54164*001|14879*40800*001|14953*49448*001|15090*63633*001|15205*67634*001|15296*72000*001|15330*43722*001
1520	14697*61962*001|14769*67532*001|14771*38568*001|14903*29454*001|14961*44626*001|15091*66975*001|15213*43386*001
2023	14835*37272*001|14899*33708*001|15014*26871*001|15021*49395*001|15296*46260*001|15315*63567*001
226	14409*72000*001|14482*34560*001|14571*71995*001|14620*28800*001|14674*36000*001|14723*62640*001|14958*69366*001|14963*71964*001|14988*53560*001|15039*32745*001|15145*67740*001
2526	14948*68500*001|15227*33000*001|15350*67500*001
3029	15015*52621*001
3532	15139*59232*001
4035	15225*31050*001|15340*33138*001|15340*40635*001|15340*47691*001
4538	15333*37107*001
729	14543*36900*001|14709*72000*001|14959*53778*001|14985*43088*001|15097*50400*001|15276*35600*001
1018	14600*51936*001|14658*30400*001|14712*55620*001|14777*56392*001|14792*36340*001|14801*44464*001|14839*29727*001|14864*64200*001|14958*28664*001|14981*49968*001|15204*68550*001|15321*71522*001|15336*55353*001|15340*27846*001
1521	14697*68646*001|14727*49708*001|14884*43506*001|14897*33708*001|15200*37100*001|15299*54164*001|15319*49455*001|15319*58275*001|15320*68859*001|15322*71946*001|15326*41369*001
2024	14835*40290*001|14955*57242*001|14968*37324*001|15037*31236*001|15094*43581*001|15202*52046*001
227	14410*33000*001|14505*51200*001|14704*71988*001|14705*32220*001|14760*55278*001|14875*31050*001|14948*60706*001|14958*38190*001|15180*63076*001|15283*56392*001|15311*26082*001|15340*52542*001
2527	14948*69366*001|15011*30039*001|15318*56070*001|15322*27405*001|15367*49041*001
3030	15016*28542*001|15179*57960*001|15346*55800*001|15353*60520*001
3533	15139*71994*001
4036	15225*56400*001|15336*57975*001
4539	15333*45045*001|15362*39600*001
730	14543*42750*001|14654*48600*001|15057*43308*001|15175*40796*001|15206*58108*001|15253*69232*001|15308*71988*001
1019	14600*55278*001|14644*52293*001|14798*58224*001|14880*54450*001|15094*50265*001
1522	14698*43200*001|14709*32220*001|15011*63912*001|15207*57242*001|15317*65772*001
2025	14835*46326*001|14881*57744*001|15031*26871*001|15207*56376*001|15337*26964*001
228	14410*48600*001|14461*42216*001|14972*46850*001|15020*30213*001|15149*65613*001
2528	14949*33860*001|15028*55278*001|15220*47574*001|15316*47487*001|15335*44604*001
3031	15016*30213*001|15109*51936*001|15281*67320*001|15363*50807*001
3534	15140*35835*001|15207*52046*001|15218*45118*001|15240*42750*001|15318*63126*001|15334*29169*001
4037	15225*58350*001|15341*50337*001
4540	15333*52983*001
731	14543*54450*001|14635*43200*001|14711*69760*001|14810*36208*001|14850*38358*001|14868*29100*001|15149*46470*001|15339*45486*001|15363*54339*001
1020	14600*58620*001|14736*65304*001|14823*54450*001|14833*41799*001|15094*40239*001|15282*39240*001|15284*62640*001|15340*41958*001|15342*29700*001
1523	14698*46800*001|14765*38568*001|14848*61416*001|15211*44252*001|15289*57960*001|15296*43920*001
2026	14836*37272*001|14932*57105*001|14999*47216*001|15020*68646*001|15081*30213*001|15195*65036*001|15233*36900*001
229	14411*34560*001|14495*56400*001|14585*65304*001|14685*61962*001|15057*68961*001|15097*54000*001|15158*72000*001|15201*39922*001|15205*63304*001|15276*33000*001
2529	14949*34726*001|15195*53778*001|15206*28664*001|15345*66701*001
3032	15016*46923*001|15057*61416*001|15184*62640*001|15228*49608*001|15337*34020*001|15358*44100*001
3535	15140*50724*001|15216*51550*001|15314*64890*001|15327*28287*001
4038	15225*64200*001|15333*61362*001
4541	15333*55188*001
732	14543*66150*001|14704*40796*001|14859*56400*001|14875*58350*001|14944*57105*001|14949*45984*001|14984*37962*001|15340*58716*001
1021	14600*65304*001|14689*28542*001|14722*45252*001|14815*47216*001|14843*38781*001|14896*54978*001|14961*48158*001|15015*26813*001|15021*41330*001|15200*31150*001|15214*55510*001
1524	14698*50400*001|14721*32220*001|14770*50724*001|14806*52720*001|14824*49344*001|15050*47835*001|15089*31884*001|15212*37950*001|15252*30400*001|15352*52200*001
2027	14836*49344*001|15186*62640*001
230	14411*43920*001|14430*53280*001|14854*68961*001|14923*43024*001|14946*56988*001|15107*68646*001|15283*60848*001|15318*28728*001
2530	14949*36458*001|15039*67452*001|15065*31236*001
3033	15016*51936*001|15162*41580*001|15328*39312*001
3536	15140*52851*001|15201*47716*001|15333*61803*001|15362*62100*001
4039	15225*66150*001|15359*56988*001
4542	15333*56952*001
733	14544*36900*001|14605*38568*001|14992*60650*001|15076*71988*001|15237*53676*001|15334*26523*001
1022	14600*68646*001|14901*33708*001|14934*52851*001|14975*53778*001|15312*50337*001
1525	14699*45252*001|14967*53778*001|15038*62925*001|15136*59232*001|15211*58108*001
2028	14836*53871*001|15024*50265*001|15090*48594*001|15092*60686*001|15228*57744*001|15333*66213*001
231	14411*53280*001|14473*37962*001|14658*56400*001|14702*43920*001|14856*56400*001|15083*26871*001
2531	14949*39922*001|15000*36544*001|15365*71999*001
3034	15016*56949*001|15174*64980*001|15196*45600*001|15200*68550*001
3537	15140*54978*001|15194*71098*001|15269*48600*001
4040	15225*68100*001
4543	15333*64008*001
734	14544*42750*001|14820*28125*001|14850*52978*001|14946*34913*001|14964*45984*001|14972*28664*001|14998*52142*001|15328*47250*001|15328*69741*001|15400*41910*001
1023	14601*38568*001|14623*54000*001|14630*46800*001|14655*32589*001|14706*69760*001|14721*50940*001|14788*63076*001|15045*65943*001|15052*53871*001
1526	14699*61962*001|14764*65304*001|14860*44700*001|15274*33000*001
2029	14836*58398*001|14958*63304*001|14962*67634*001|14968*48582*001|15289*60300*001|15319*59598*001|15340*68859*001
232	14412*33000*001|14452*62640*001|14725*47480*001|15080*70317*001|15205*36458*001|15214*52046*001|15313*68418*001|15335*62244*001
2532	14949*40788*001|15024*40239*001|15300*36900*001|15316*36125*001|15323*64890*001
3035	15016*61962*001|15047*58398*001|15058*68961*001|15077*30213*001|15169*50940*001
3538	15140*57105*001
4041	15225*70050*001|15338*43281*001
4544	15334*45927*001
735	14544*48600*001|14614*43200*001|14811*66150*001|14998*67740*001|15058*64434*001|15285*27428*001
1024	14601*41910*001|14614*36000*001|14710*72000*001|14851*64434*001|15255*33456*001
1527	14699*65304*001|14767*38568*001|14859*29100*001|14981*29328*001|14994*43634*001|15091*46923*001|15244*42750*001
2030	14836*68961*001|14963*53778*001|15039*59907*001|15240*60300*001
233	14412*40800*001|14427*43920*001|14438*48600*001|14500*35600*001|14629*68400*001|14919*42216*001|14976*39328*001|15000*40798*001|15050*40290*001|15075*28426*001|15096*68646*001|15169*46260*001
2533	14949*48582*001|15009*41910*001|15010*43581*001|15304*60848*001|15329*60921*001|15356*72000*001
3036	15017*38568*001|15049*44817*001|15325*48132*001|15335*49014*001
3539	15141*31581*001
4042	15226*37404*001|15315*61362*001
4545	15334*46368*001
736	14544*54450*001|14810*60976*001|14829*40290*001|14836*65943*001|14867*54450*001|14958*51180*001|14985*45840*001|15150*67740*001|15350*64800*001
1025	14601*45252*001|14639*54000*001|14884*39438*001|15032*30039*001|15082*31884*001|15315*41517*001|15340*59157*001
1528	14700*31884*001|14759*50400*001|14818*30704*001|14983*32080*001|15197*65036*001
2031	14837*26662*001|14929*69867*001|14954*59840*001|15334*26082*001
234	14412*56400*001|14772*49708*001|14818*47216*001|14880*52500*001|14955*31262*001|14973*55510*001|14981*36208*001|14988*26618*001|14991*44464*001|15335*56511*001|15337*30933*001
2534	14949*50314*001
3037	15017*51936*001|15042*56889*001
3540	15141*35835*001|15207*45984*001|15324*58275*001
4043	15226*47574*001|15336*68463*001|15358*27900*001|15362*53100*001
4546	15334*56511*001
737	14544*72000*001|14694*72000*001|14732*64800*001|14744*57600*001|14822*60976*001|14928*38568*001|14935*60848*001|14952*32128*001|15117*38568*001|15339*31815*001|15340*69300*001
1026	14601*48594*001|14664*38200*001|14793*48600*001|14835*52362*001|14962*68500*001|15099*64800*001|15206*62438*001|15301*69760*001
1529	14700*45252*001|14846*58826*001|14849*67452*001|14899*54978*001|15131*54978*001|15199*36458*001|15313*62244*001|15317*60480*001|15330*35343*001
2032	14837*28124*001|14875*64200*001|15052*62925*001
235	14412*72000*001|14590*31884*001|14697*31884*001|14792*45252*001|14804*27952*001|14835*44817*001|14878*70050*001|15029*39717*001|15084*51008*001|15200*34550*001|15316*33503*001|15322*36225*001|15359*36679*001|15393*61962*001
2535	14950*26066*001|15070*65304*001|15242*72000*001|15340*30051*001
3038	15018*28426*001|15198*44252*001|15365*43743*001
3541	15141*42216*001
4044	15226*55710*001
4547	15335*30051*001
738	14545*42750*001|14815*58224*001|14883*66150*001|14908*29100*001|14924*63486*001|14986*33708*001|14990*49306*001|15129*63486*001|15321*53168*001|15323*41076*001
1027	14601*55278*001|14720*67532*001|14825*34254*001|14877*61812*001|14987*67856*001|15092*47782*001|15283*49708*001
1530	14700*55278*001|14783*27428*001|14919*40089*001|14946*47275*001|14954*32994*001|15123*36000*001|15334*66213*001
2033	14837*29586*001|14919*37962*001|14955*45984*001|14956*52912*001|14973*38190*001|14981*34832*001|15075*54234*001
236	14413*33000*001|14487*71994*001|14548*36900*001|14597*48594*001|14713*49708*001|14782*34112*001|14855*63846*001|14926*31581*001|15104*51936*001|15144*65613*001|15331*37873*001
2536	14950*29530*001|15023*68646*001|15301*47480*001|15329*68418*001
3039	15018*46169*001|15059*29727*001|15196*58350*001|15216*35400*001|15310*34560*001
3542	15141*52851*001|15345*47275*001|15347*35796*001|15358*42300*001
4045	15226*59778*001|15368*65700*001
4548	15335*35343*001
739	14545*48600*001|14703*29880*001|14755*35226*001|14851*58398*001|14880*27150*001|14966*34726*001|15116*64800*001|15200*49850*001|15206*69366*001
1028	14601*58620*001|14817*31050*001|14937*69867*001|15338*41958*001|15392*28800*001
1531	14700*61962*001|14764*69760*001|14907*67740*001|14941*71994*001|14976*71116*001|15323*40635*001|15379*36000*001
2034	14837*33972*001|15001*58224*001|15337*40194*001|15368*72000*001
237	14413*40800*001|14442*48600*001|14513*72000*001|14842*56889*001|15122*71988*001|15209*27798*001|15209*59840*001|15361*68467*001
2537	14950*30396*001|15021*70364*001|15201*56376*001
3040	15019*68646*001|15226*69948*001|15340*71064*001
3543	15141*67740*001
4046	15226*67914*001
4549	15335*39312*001
740	14545*54450*001|14642*27800*001|14718*45252*001|14823*60300*001|14879*54450*001|15186*64980*001
1029	14601*61962*001|14628*50400*001|14650*53800*001|14710*64980*001|14813*38960*001|14856*38850*001|15036*37680*001|15064*56889*001
1532	14700*71988*001|14719*36900*001|14871*56400*001|14967*39922*001|15008*36897*001|15043*49344*001|15056*72000*001|15065*61416*001|15199*52912*001|15235*50550*001|15337*39312*001
2035	14837*36896*001|14993*66480*001|15048*50853*001|15107*61962*001|15317*54306*001|15319*30051*001|15354*50400*001
